id,title,is_paid,price,num_subscribers,avg_rating,num_reviews,num_lectures,Level,content_length_min,published_time,category,course_url
477250,"Learn Gulp, The Streaming Build System",TRUE,25,1305,4.55,38,16,Intermediate Level,1.5,2015-04-19T20:34:42Z,Web Development,https://www.udemy.com/gulp-101/
477634,Adobe Illustrator CC - Print Design for Beginners,TRUE,50,145,4.65,35,55,Beginner Level,6,2016-03-08T15:09:47Z,Graphic Design,https://www.udemy.com/adobe-illustrator-cc-print-design/
477702,Python for Beginners: Python Programming Language | Tutorial,TRUE,150,6153,3.625,125,84,Beginner Level,5,2015-06-14T18:18:57Z,Web Development,https://www.udemy.com/python-course/
478598,Forex Prep Academy for Beginners-Real trades!,TRUE,75,1303,4.6,21,44,Beginner Level,3,2015-06-19T15:22:42Z,Business Finance,https://www.udemy.com/forex-prep-academy-for-beginners/
479496,Basic Technical Analysis,TRUE,50,40,4.375,1,27,Beginner Level,2.5,2015-08-05T17:19:03Z,Business Finance,https://www.udemy.com/basic-technical-analysis/
479688,Cost Accounting Labour Costing (Professional Course Level),TRUE,20,1542,4.45,1,24,Intermediate Level,2,2015-04-20T18:33:40Z,Business Finance,https://www.udemy.com/labour-costing/
479760,Podcast Cover Art | Design Like the Best,TRUE,20,33,4.574468,2,7,Intermediate Level,1,2015-04-22T00:37:42Z,Graphic Design,https://www.udemy.com/podcast-graphic-design/
480752,Investing In Stocks With 10 Simple Rules,TRUE,95,871,4.15,79,59,Intermediate Level,2,2015-06-16T21:35:07Z,Business Finance,https://www.udemy.com/value-investing-rules/
481002,Learn Nodejs by building 12 projects,TRUE,50,10150,3.65,997,90,Intermediate Level,16,2015-04-22T00:22:43Z,Web Development,https://www.udemy.com/learn-nodejs-by-building-10-projects/
481696,Code & Grow Rich:  Earn More As An Entrepreneur Or Developer,TRUE,200,7211,4.6,52,491,Intermediate Level,57,2016-02-10T01:09:19Z,Web Development,https://www.udemy.com/code-grow-rich-earn-more-as-an-entrepreneur-or-developer/
482208,Learn Photoshop CC Essentials,TRUE,75,3117,4.2,30,62,Beginner Level,4.5,2015-05-06T00:47:09Z,Graphic Design,https://www.udemy.com/learn-photoshop-cc-essentials/
482334,Fingerpicking for Guitar,TRUE,20,35,4.4,4,26,Intermediate Level,3,2016-09-14T16:38:02Z,Musical Instruments,https://www.udemy.com/fingerpicking-for-guitar/
